,Custkey,Recency,Frequency,Monetary,Recency_pt_mm,Frequency_pt_mm,Monetary_pt_mm,Cluster,R,F,M,RFM_score,RFM_class
64,10006846,0.021739130434782608,6,14377.509999999998,0.5035182940022825,0.22951288879503925,0.35666189554988575,3,3,2,2,7,silver
65,10006862,0.011111111111111112,136,88822.59,0.3691798849271981,0.6246022047808122,0.5224296565973052,1,2,5,4,11,platinum
66,10006916,0.05,4,1818.33,0.6551377619305773,0.17774785815218136,0.17760758298147714,3,4,1,1,6,family
67,10006917,0.03333333333333333,15,11276.61,0.5833209770918464,0.34612418700105313,0.33512820706750235,3,4,3,2,9,gold
68,10006983,0.05,4,2307.87,0.6551377619305773,0.17774785815218136,0.19776976607331928,3,4,1,1,6,family
69,10007117,0.009615384615384616,13,43352.270000000004,0.338718753261802,0.32794626195388693,0.45620544742459207,1,2,2,3,7,silver
70,10007120,0.010638297872340425,17,13193.960000000001,0.3600766766859064,0.3620132875267223,0.34903181173702125,1,2,3,2,7,silver
71,10007121,0.0625,142,132639.79,0.6931191239500518,0.6300262357496387,0.5599882037166426,0,4,5,4,13,diamond
72,10007122,0.008928571428571428,3,1708.53,0.3228881719538712,0.14095891508431174,0.17236042913490537,2,2,1,1,4,family
73,10007123,0.16666666666666666,95,80518.16,0.8479288988123537,0.5794828854929547,0.5132947161094753,0,5,5,4,14,diamond
74,10007134,0.010416666666666666,235,918067.02,0.3556513304156278,0.6932341368507895,0.7467360116702355,1,2,5,5,12,platinum
75,10007183,0.1,47,363929.04,0.7696985955511401,0.49075736033271394,0.6562570343350005,0,4,4,5,13,diamond
76,10007258,0.05,3,1339.32,0.6551377619305773,0.14095891508431174,0.15192987989776685,3,4,1,1,6,family
77,10007309,0.010526315789473684,23,193096.0,0.35785382966866774,0.40034768010034083,0.5955164592615202,1,2,3,5,10,gold
78,10007355,0.007246376811594203,32,33754.36,0.277489510000549,0.44216453565255975,0.4333867615838542,1,1,3,3,7,silver
